sourcename num edu usertype citylevel bin rbin tc jd um cmax omax pre bo td1 td2 zx1 def zx2 qudao_type
APP资产大额51卡宝 116 0.0344827586206897 0.155172413793103 0.370689655172414 0.482758620689655 0.189655172413793 0.0260869565217391 0.140625 0.178571428571429 0.227272727272727 0.363636363636364 0.189655172413793 0.198275862068966 0.55045871559633 0.954128440366973 0.263157894736842 0.880434782608696 0.571428571428571 APP
百融 66 0.0606060606060606 0.303030303030303 0.212121212121212 0.515151515151515 0.212121212121212 0.0454545454545455 0.032258064516129 0.1875 0.210526315789474 0.157894736842105 0.257575757575758 0.151515151515152 0.566666666666667 1 0.388888888888889 0.827586206896552 0.526315789473684 APP
百融白名单 1005 0.0606965174129353 0.290547263681592 0.269651741293532 0.43681592039801 0.235235235235235 0.0647410358565737 0.170055452865065 0.223393045310854 0.285245901639344 0.377049180327869 0.159203980099502 0.387064676616915 0.465897166841553 0.96234309623431 0.254237288135593 0.776699029126214 0.605263157894737 APP
大额广点通 851 0.0376028202115159 0.286721504112808 0.245593419506463 0.398354876615746 0.169047619047619 0.0235017626321974 0.0704845814977974 0.109517601043025 0.170886075949367 0.272151898734177 0.148061104582844 0.357226792009401 0.58968058968059 0.980746089049338 0.355704697986577 0.796852646638054 0.605095541401274 APP
大额广点通1 131 0.0458015267175573 0.312977099236641 0.236641221374046 0.290076335877863 0.230769230769231 0.0625 0.072463768115942 0.147540983606557 0.0952380952380952 0.166666666666667 0.152671755725191 0.389312977099237 0.532786885245902 1 0.48780487804878 0.808695652173913 0.5 APP
大额优借 292 0.0479452054794521 0.304794520547945 0.226027397260274 0.493150684931507 0.186851211072664 0.0342465753424658 0.143712574850299 0.108614232209738 0.176470588235294 0.308823529411765 0.150684931506849 0.294520547945205 0.47565543071161 0.966417910447761 0.169230769230769 0.83982683982684 0.661764705882353 APP
粉丝通凯美大额 88 0.0795454545454545 0.386363636363636 0.295454545454545 0.568181818181818 0.413793103448276 0.0574712643678161 0.215384615384615 0.321428571428571 0.258064516129032 0.225806451612903 0.159090909090909 0.443181818181818 0.524390243902439 0.976190476190476 0.321428571428571 0.805194805194805 0.419354838709677 APP
广点通 2390 0.0255230125523013 0.236401673640167 0.264016736401674 0.368200836820084 0.13816631130064 0.0184254606365159 0.0604026845637584 0.122980251346499 0.246013667425968 0.364464692482916 0.156903765690377 0.341004184100418 0.528259902091678 0.970703979011806 0.263657957244656 0.783238489394723 0.539863325740319 APP
今日头条大额 774 0.0516795865633075 0.297157622739018 0.219638242894057 0.356589147286822 0.232073011734029 0.0245478036175711 0.126288659793814 0.186704384724187 0.329479768786127 0.46242774566474 0.180878552971576 0.366925064599483 0.548387096774194 0.986702127659574 0.255952380952381 0.838557993730408 0.589595375722543 APP
今日头条大额2 651 0.0168970814132104 0.359447004608295 0.211981566820276 0.341013824884793 0.226851851851852 0.0230414746543779 0.118694362017804 0.217391304347826 0.337931034482759 0.468965517241379 0.204301075268817 0.296466973886329 0.518151815181518 0.99016393442623 0.309859154929577 0.831826401446655 0.593103448275862 APP
陌陌信息流大额 133 0.0150375939849624 0.240601503759398 0.270676691729323 0.323308270676692 0.102362204724409 0.0075187969924812 0.0454545454545455 0.111111111111111 0.181818181818182 0.272727272727273 0.18796992481203 0.398496240601504 0.48780487804878 0.968 0.476190476190476 0.797979797979798 0.409090909090909 APP
神马SEM大额 632 0.0427215189873418 0.278481012658228 0.213607594936709 0.384493670886076 0.193220338983051 0.0221518987341772 0.0711974110032362 0.130434782608696 0.166666666666667 0.260869565217391 0.134493670886076 0.381329113924051 0.578231292517007 0.98841059602649 0.359375 0.803883495145631 0.525547445255474 APP
亿玛dsp 299 0.0234113712374582 0.127090301003344 0.217391304347826 0.551839464882943 0.0955631399317406 0.023489932885906 0.0588235294117647 0.113138686131387 0.233333333333333 0.4 0.137123745819398 0.511705685618729 0.520408163265306 0.916107382550336 0.344827586206897 0.733333333333333 0.533333333333333 APP
原点时空大额 680 0.0661764705882353 0.277941176470588 0.230882352941176 0.45 0.239290989660266 0.0310192023633678 0.122249388753056 0.177740863787375 0.194630872483221 0.25503355704698 0.130882352941176 0.4 0.580441640378549 0.984591679506934 0.378378378378378 0.778966131907308 0.516778523489933 APP
资产大额九格网络 108 0.0462962962962963 0.277777777777778 0.175925925925926 0.342592592592593 0.216981132075472 0.00925925925925926 0.116666666666667 0.12 0.25 0.392857142857143 0.185185185185185 0.37037037037037 0.59 1 0.48 0.835164835164835 0.571428571428571 APP
