sourcename num edu usertype citylevel bin rbin tc jd um cmax omax pre bo td1 td2 zx1 def zx2
APP资产大额51卡宝 144 0.0763888888888889 0.131944444444444 0.291666666666667 0.3125 0.174825174825175 0.0208333333333333 0.105263157894737 0.18796992481203 0.344827586206897 0.310344827586207 0.222222222222222 0.125 0.517482517482518 0.895833333333333 0.28 0.731884057971015 0.5
APP资产大额还呗 113 0.0619469026548673 0.221238938053097 0.309734513274336 0.424778761061947 0.25 0.0530973451327434 0.144736842105263 0.254901960784314 0.25 0.291666666666667 0.123893805309735 0.0884955752212389 0.469026548672566 0.920353982300885 0.217391304347826 0.824074074074074 0.75
百融白名单 291 0.0790378006872852 0.247422680412371 0.247422680412371 0.374570446735395 0.180555555555556 0.0412371134020619 0.136612021857924 0.192028985507246 0.30952380952381 0.357142857142857 0.147766323024055 0.0378006872852234 0.506896551724138 0.951890034364261 0.219512195121951 0.752688172043011 0.578313253012048
大额广点通 1266 0.028436018957346 0.281990521327014 0.236176935229068 0.222748815165877 0.166799046862589 0.0213270142180095 0.0714285714285714 0.119217081850534 0.164021164021164 0.264550264550265 0.123222748815166 0.247235387045814 0.550806451612903 0.975513428120063 0.357541899441341 0.781172584640793 0.585106382978723
大额朋友圈 165 0.0181818181818182 0.357575757575758 0.315151515151515 0.23030303030303 0.184049079754601 0.0181818181818182 0.0595238095238095 0.118421052631579 0.275862068965517 0.413793103448276 0.115151515151515 0.333333333333333 0.631901840490798 0.975757575757576 0.464285714285714 0.773584905660377 0.586206896551724
大额亿玛dsp2 219 0.0091324200913242 0.465753424657534 0.178082191780822 0.205479452054795 0.214611872146119 0.0273972602739726 0.108910891089109 0.148717948717949 0.275 0.4 0.17351598173516 0.255707762557078 0.552511415525114 0.990867579908676 0.225 0.850961538461538 0.5
大额优借 184 0.0271739130434783 0.21195652173913 0.25 0.25 0.185792349726776 0.0217391304347826 0.0701754385964912 0.137724550898204 0.0789473684210526 0.236842105263158 0.168478260869565 0.125 0.472527472527473 0.945355191256831 0.351351351351351 0.809248554913295 0.710526315789474
广点通 4672 0.0220462328767123 0.259631849315068 0.271404109589041 0.205907534246575 0.132961413296141 0.0252622564761293 0.0661902971041745 0.108368594264222 0.211646136618141 0.318029115341545 0.158604452054795 0.211686643835616 0.553664921465969 0.970021413276231 0.366028708133971 0.788465870691597 0.523542600896861
今日头条大额 951 0.0378548895899054 0.303890641430074 0.246056782334385 0.231335436382755 0.231991525423729 0.0315789473684211 0.0858778625954199 0.183507549361208 0.306451612903226 0.408602150537634 0.182965299684543 0.242902208201893 0.552127659574468 0.976866456361725 0.268571428571429 0.792265193370166 0.580645161290323
陌陌大额59 69 0 0.217391304347826 0.246376811594203 0.188405797101449 0.0579710144927536 0.0144927536231884 0.0625 0.0655737704918033 0.2 0 0.130434782608696 0.27536231884058 0.573529411764706 1 0.6 0.830769230769231 0.5
陌陌信息流大额 575 0.0226086956521739 0.28695652173913 0.217391304347826 0.173913043478261 0.132404181184669 0.0191304347826087 0.056782334384858 0.0965909090909091 0.0886075949367089 0.240506329113924 0.163478260869565 0.28695652173913 0.577540106951872 0.984347826086956 0.583333333333333 0.82037037037037 0.430379746835443
朋友圈 170 0.0235294117647059 0.347058823529412 0.470588235294118 0.252941176470588 0.217647058823529 0.0176470588235294 0.169811320754717 0.125786163522013 0.205882352941176 0.294117647058824 0.182352941176471 0.282352941176471 0.571428571428571 0.988235294117647 0.466666666666667 0.795031055900621 0.647058823529412
神马SEM大额 699 0.0343347639484979 0.273247496423462 0.228898426323319 0.238912732474964 0.152080344332855 0.0214592274678112 0.0633245382585752 0.0857142857142857 0.165217391304348 0.243478260869565 0.13447782546495 0.301859799713877 0.584683357879234 0.985693848354793 0.443396226415094 0.78517397881997 0.552631578947368
亿玛dsp 2910 0.0271477663230241 0.26254295532646 0.245704467353952 0.184536082474227 0.1432022084196 0.0233918128654971 0.072716695753345 0.110983543819365 0.179292929292929 0.257575757575758 0.141237113402062 0.208591065292096 0.565461565461565 0.963536291709666 0.422043010752688 0.77303693079957 0.532828282828283
原点时空大额 627 0.0606060606060606 0.272727272727273 0.23444976076555 0.259968102073365 0.209935897435897 0.0272 0.12531328320802 0.154255319148936 0.206611570247934 0.289256198347107 0.133971291866029 0.32695374800638 0.585924713584288 0.982371794871795 0.4 0.777210884353742 0.545454545454545
运营短信营销 142 0.0985915492957746 0.971830985915493 0.267605633802817 0.5 0.295774647887324 0.028169014084507 0.0705882352941176 0.166666666666667 0.207792207792208 0.285714285714286 0.140845070422535 0.119718309859155 0.730496453900709 1 0.712328767123288 0.864285714285714 0.545454545454545
资产大额秋成科技 1334 0.0412293853073463 0.215892053973014 0.251124437781109 0.247376311844078 0.128469468675654 0.0262368815592204 0.0708180708180708 0.106699751861042 0.177606177606178 0.243243243243243 0.142428785607196 0.113943028485757 0.503391107761869 0.942985746436609 0.296747967479675 0.779527559055118 0.532818532818533
资产大额秋成科技二 70 0.0714285714285714 0.285714285714286 0.271428571428571 0.371428571428571 0.171428571428571 0.0857142857142857 0.166666666666667 0.132352941176471 0.176470588235294 0.294117647058824 0.185714285714286 0.1 0.507246376811594 1 0.411764705882353 0.880597014925373 0.705882352941177
资产大额淘钱宝 182 0.0604395604395604 0.175824175824176 0.236263736263736 0.21978021978022 0.118518518518519 0.0384615384615385 0.0683760683760684 0.113095238095238 0.261904761904762 0.261904761904762 0.208791208791209 0.032967032967033 0.538888888888889 0.93956043956044 0.210526315789474 0.834319526627219 0.452380952380952
资产大额万谋数据 189 0.0423280423280423 0.291005291005291 0.238095238095238 0.28042328042328 0.222222222222222 0.0211640211640212 0.08 0.142045454545455 0.16 0.2 0.142857142857143 0.17989417989418 0.534391534391534 0.888888888888889 0.291666666666667 0.744444444444444 0.56
