sourcename sourcefeature sourcetype userid first_login_time first_login_usertype chuo_status first_chuo_bin youe_status fb_status cj_status allcj_status
广点通 regsourceid=dae016 app 56611275 2018-06-08 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 81550808 2018-05-29 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 83976839 2018-05-27 纯新 0 NA 0 0 0 0
亿玛dsp regsourceid=dae122 app 80845943 2018-06-22 有额未发标 0 NA 0 0 0 1
资产大额淘钱宝 regsourceid=dae096 app 15799512 2018-06-05 发标未成交 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 84534526 2018-06-06 纯新 0 NA 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb01 app 22884929 2018-06-14 发标未成交 1 14 0 0 0 0
广点通 regsourceid=dae016 app 83559420 2018-05-21 发标未成交 1 11 0 0 0 1
广点通 app_feature=dae183_1052 app 37070402 2018-06-13 成交 1 9 0 0 0 0
广点通 regsourceid=dae016 app 69365151 2018-05-30 发标未成交 1 2 0 0 0 0
今日头条大额 regsourceid=dae258 app 39039024 2018-06-16 发标未成交 1 9 0 0 0 0
广点通 regsourceid=dae148 app 85711059 2018-06-21 纯新 1 4 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 48104475 2018-06-14 发标未成交 1 2 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb01 app 31336872 2018-06-08 发标未成交 1 7 0 0 0 0
资产大额M站闪电公积金 regsourceid=zcdaeshandiangongjijin M 9820322 2018-06-03 发标未成交 1 17 0 0 0 0
神马SEM大额 regsourceid=dae042 app 30974240 2018-06-20 发标未成交 1 7 0 0 0 0
资产大额淘钱宝 regsourceid=dae096 app 7030547 2018-05-10 发标未成交 1 18 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 71746600 2018-06-14 戳额无额度 1 14 0 0 0 0
陌陌大额59 regsourceid=dae294 app 46737611 2018-06-20 发标未成交 1 5 0 0 0 1
亿玛dsp app_feature=dae139_1052 app 57070420 2018-06-13 发标未成交 1 2 1 1 1 1
资产大额M站九格 regsourceid=zcdaejiuge M 61893903 2018-06-18 发标未成交 1 1 0 0 0 0
