sourcename sourcetype first_login_usertype qudao_type channel_category credit_bin firstchuo edu chuomode message_count_default boappnum biglinetype usertype jdcredit_score umeng_score risk_score pretax final_score td_3m td_1m cmax omax vcard rph rpo rpc query1m hoverdue2y ooverdue2y coverdue2y repaybin citylevel_bin
原点时空大额 app 发标未成交 APP APP信息流 6 2018-07-19 4无学历 wb 1 13 APP 2发标未成交 NA 740 42 missing 52 0 0 NA NA NA NA NA NA NA NA NA NA 2 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 6 2018-07-28 4无学历 bb 0 14 APP 2发标未成交 516.11 819 17 02k-05k 61 0 0 NA NA NA NA NA NA NA NA NA NA 1 6线及以下
广点通 app 发标未成交 APP APP信息流 -1 2018-07-18 4无学历 xiaoe_m -1 0 M站 2发标未成交 548.19 445 67 0-02k 90 0 0 NA NA NA NA NA NA NA NA NA NA 3 3线
广点通 app 发标未成交 APP APP信息流 2 2018-07-17 4无学历 tb 0 4 APP 2发标未成交 603.74 578 74 missing 44 0 8 NA NA NA NA NA NA NA NA NA NA 5 3线
大额广点通 app 发标未成交 APP APP信息流 -1 2018-07-29 4无学历 xiaoe_m -1 0 M站 2发标未成交 547.31 465 38 02k-05k 48 0 0 NA NA NA NA NA NA NA NA NA NA 5 4线
资产大额秋成科技 app 发标未成交 APP APP贷超 5 2018-07-15 4无学历 gjj 0 1 APP 2发标未成交 723.42 618 78 missing 8 1 0 NA NA NA NA NA NA NA NA NA NA 1 6线及以下
大额广点通 app 发标未成交 APP APP信息流 5 2018-07-16 4无学历 tb 0 4 APP 2发标未成交 589 787 44 08k-15k 38 0 0 NA NA NA NA NA NA NA NA NA NA 2 4线
广点通 app 发标未成交 APP APP信息流 16 2018-07-30 4无学历 gjj 1 7 APP 2发标未成交 516.03 366 54 0-0 24 0 0 NA NA NA NA NA NA NA NA NA NA 2 5线
今日头条大额 app 发标未成交 APP APP信息流 9 2018-07-16 4无学历 tb 2 18 APP 2发标未成交 637.4 534 40 missing 70 8 0 NA NA NA NA NA NA NA NA NA NA 5 3线
广点通 app 戳额无额度 APP APP信息流 5 2018-08-04 4无学历 wb 0 3 APP 2发标未成交 NA 496 47 0-0 36 3 0 40000 109335 11 0 2708 53 7 0 0 1 3 2线
大额广点通 app 纯新 APP APP信息流 20 2018-07-24 4无学历 gxb_m 0 3 M站 5纯新 642.38 484 82 05k-08k 46 0 4 NA NA NA NA NA NA NA NA NA NA NA 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 3 2018-07-31 4无学历 tb 0 10 APP 2发标未成交 636.76 581 48 02k-05k 64 1 0 NA NA NA NA NA NA NA NA NA NA 5 3线
资产大额秋成科技 app 有额未发标 APP APP贷超 4 2018-07-30 4无学历 tb 0 2 APP 4有额未发标 681.99 743 62 02k-05k 17 0 0 NA NA NA NA NA NA NA NA NA NA 1 6线及以下
大额广点通 app 发标未成交 APP APP信息流 19 2018-07-15 4无学历 tb 0 6 APP 2发标未成交 544.65 342 90 missing 90 0 0 NA NA NA NA NA NA NA NA NA NA 5 6线及以下
大额广点通 app 发标未成交 APP APP信息流 3 2018-07-24 3专科 wb 23 24 APP 2发标未成交 632.23 404 83 0-0 80 0 10 NA NA NA NA NA NA NA NA NA NA 2 6线及以下
百融白名单 app 发标未成交 APP APP贷超 5 2018-08-07 4无学历 gjj 0 10 APP 2发标未成交 574.61 765 60 08k-15k 51 6 5 NA NA NA NA NA NA NA NA NA NA 1 2线
大额广点通 app 发标未成交 APP APP信息流 1 2018-07-18 3专科 tb 0 2 APP 2发标未成交 643.02 714 55 missing 22 0 0 NA NA NA NA NA NA NA NA NA NA 1 6线及以下
