sourcename edu city usertype bin rbin tengxun umeng jd max_creditcard max_otherloan salary boapp tongdun zx_query ovd_msg overdue_zx num qudao_type channel_category
APP资产大额51卡宝 1.26815642458101 0.134078212290503 1.33519553072626 1.85474860335196 2.19774011299435 1.8876404494382 2.11764705882353 2.12121212121212 2.67741935483871 2.09677419354839 1.76536312849162 1.98882681564246 2.57926829268293 2.06451612903226 1.91620111731844 2.83870967741935 179 APP APP贷超
百融白名单 1.38831967213115 0.0440573770491803 1.69774590163934 2.18135245901639 2.77239958805355 2.10358974358974 2.47391304347826 2.33333333333333 3.1006711409396 2.31879194630872 1.75717213114754 2.45491803278689 2.78326180257511 2.10402684563758 1.21926229508197 2.95302013422819 976 APP APP贷超
大额广点通 1.23117338003503 -0.0280210157618214 1.56392294220665 1.6707530647986 2.23571428571429 1.68826619964974 1.93909626719057 2.02090592334495 2.30252100840336 1.81512605042017 1.81260945709282 2.19614711033275 3.05667276051188 2.22689075630252 2.07005253940455 3.04201680672269 571 APP APP信息流
大额广点通1 1.26277372262774 -0.0802919708029197 1.72262773722628 1.8978102189781 2.39705882352941 1.94029850746269 2.03149606299213 2.09722222222222 2.28888888888889 1.33333333333333 1.75182481751825 2.2043795620438 3.13076923076923 2.37777777777778 2.24817518248175 2.68888888888889 137 APP APP信息流
大额优借 1.31501831501832 -0.043956043956044 1.76190476190476 2.14285714285714 2.25555555555556 1.77289377289377 1.952 2.28662420382166 2.46268656716418 1.82089552238806 1.84249084249084 2.04761904761905 2.94820717131474 1.95522388059702 2.003663003663 2.97014925373134 273 APP APP贷超
粉丝通凯美大额 1.54285714285714 0.142857142857143 1.92857142857143 2.97142857142857 3.79710144927536 2.2 2.80597014925373 2.6078431372549 1.92 1.6 1.77142857142857 2.41428571428571 2.92424242424242 1.84 2.28571428571429 2.24 70 APP APP信息流
广点通 1.17804024496938 -0.0078740157480315 1.55249343832021 1.47812773403325 1.94600624721107 1.6980306345733 1.94927195866604 2.01681415929204 2.61792452830189 2.19575471698113 1.83245844269466 2.15791776027997 3.00974477958237 2.07783018867925 2.05905511811024 2.75707547169811 2286 APP APP信息流
今日头条大额 1.22990126939351 -0.0860366713681241 1.78138222849083 1.5867418899859 2.67563739376771 1.69957686882934 2.26283048211509 2.21899736147757 3.12352941176471 2.67058823529412 1.9083215796897 2.26516220028209 3.02064896755162 2.05882352941176 2.19464033850494 3.09411764705882 709 APP APP信息流
今日头条大额2 1.17170495767836 -0.103990326481258 1.91777509068924 1.74123337363966 2.68894289185905 1.82103990326481 2.37367021276596 2.24305555555556 3.15075376884422 2.64321608040201 1.94921402660218 2.14993954050786 3.07622739018088 2.21105527638191 2.28778718258767 2.96984924623116 827 APP APP信息流
陌陌信息流大额 1.04807692307692 -0.0480769230769231 1.50961538461538 0.721153846153846 1.53061224489796 1.54807692307692 1.84 1.90196078431373 2.23529411764706 2.23529411764706 1.86538461538462 2.36538461538462 2.97916666666667 2.41176470588235 1.63461538461538 1.94117647058824 104 APP APP信息流
神马SEM大额 1.24048442906574 -0.055363321799308 1.63840830449827 1.60034602076125 2.24007561436673 1.64878892733564 2.00965250965251 2.13028169014085 2.05714285714286 1.68571428571429 1.77162629757785 2.29411764705882 3.15129151291513 2.05 2.06228373702422 2.68571428571429 578 APP APP信息流
